Pin Name,Pin Index,LOC,DRIVE,IOSTANDARD,SLEW,TIG
GCLK,,V10,,LVCMOS33,,
RESET,,B8,,LVCMOS33,,TIG
RS232_Uart_1_sout,,N18,,LVCMOS33,,
RS232_Uart_1_sin,,N17,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,0,T10,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,1,T9,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,2,V9,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,3,M8,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,4,N8,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,5,U8,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,6,V8,,LVCMOS33,,
DIP_Switches_8Bits_TRI_I,7,T5,,LVCMOS33,,
LEDs_8Bits_TRI_O,0,U16,,LVCMOS33,,
LEDs_8Bits_TRI_O,1,V16,,LVCMOS33,,
LEDs_8Bits_TRI_O,2,U15,,LVCMOS33,,
LEDs_8Bits_TRI_O,3,V15,,LVCMOS33,,
LEDs_8Bits_TRI_O,4,M11,,LVCMOS33,,
LEDs_8Bits_TRI_O,5,N11,,LVCMOS33,,
LEDs_8Bits_TRI_O,6,R11,,LVCMOS33,,
LEDs_8Bits_TRI_O,7,T11,,LVCMOS33,,
Push_Buttons_4Bits_TRI_I,0,A8,,LVCMOS33,,
Push_Buttons_4Bits_TRI_I,1,C4,,LVCMOS33,,
Push_Buttons_4Bits_TRI_I,2,C9,,LVCMOS33,,
Push_Buttons_4Bits_TRI_I,3,D9,,LVCMOS33,,
Digilent_Usb_Epp_IFCLK_pin,,H2,,LVCMOS33,,
Digilent_Usb_Epp_STMEN_pin,,F6,,LVCMOS33,,
Digilent_Usb_Epp_FLAGA_pin,,H1,,LVCMOS33,,
Digilent_Usb_Epp_FLAGB_pin,,K4,,LVCMOS33,,
Digilent_Usb_Epp_FLAGC_pin,,F5,,LVCMOS33,,
Digilent_Usb_Epp_SLRD_pin,,C2,,LVCMOS33,,
Digilent_Usb_Epp_SLWR_pin,,C1,,LVCMOS33,,
Digilent_Usb_Epp_SLOE_pin,,H6,,LVCMOS33,,
Digilent_Usb_Epp_FIFOADR_pin,0,H5,,LVCMOS33,,
Digilent_Usb_Epp_FIFOADR_pin,1,E3,,LVCMOS33,,
Digilent_Usb_Epp_PKTEND_pin,,D3,,LVCMOS33,,
Digilent_Usb_Epp_EPPRST_pin,,F1,,LVCMOS33,,
Digilent_Usb_Epp_DB,0,E1,,LVCMOS33,,
Digilent_Usb_Epp_DB,1,F4,,LVCMOS33,,
Digilent_Usb_Epp_DB,2,F3,,LVCMOS33,,
Digilent_Usb_Epp_DB,3,D2,,LVCMOS33,,
Digilent_Usb_Epp_DB,4,D1,,LVCMOS33,,
